"Source","Reference","Target","Status"
"index.html","./Elevate%204D/Categorias%20Restritas/LIBERACAO-CATEGORIAS-RESTRITAS.html","Elevate 4D\Categorias Restritas\LIBERACAO-CATEGORIAS-RESTRITAS.html","OK"
"index.html","#welcome","index.html","OK"
"index.html","#elite","index.html","OK"
"index.html","#carteiras","index.html","OK"
"index.html","#recrutamento","index.html","OK"
"index.html","#start","index.html","OK"
"index.html","#metodo","index.html","OK"
"index.html","#formacao","index.html","OK"
"index.html","#live-que-vende","index.html","OK"
"index.html","#datas","index.html","OK"
"index.html","#datas-anteriores","index.html","OK"
"index.html","#fluxo","index.html","OK"
"index.html","#comercial","index.html","OK"
"index.html","#onboarding","index.html","OK"
"index.html","#cliente","index.html","OK"
"index.html","#marketplaces","index.html","OK"
"index.html","#categorias","index.html","OK"
"index.html","#analises","index.html","OK"
"index.html","./Boas-Vindas/BEM-VINDO-ELEVATE.html","Boas-Vindas\BEM-VINDO-ELEVATE.html","OK"
"index.html","./Time%20de%20Elite/BLACK-PANTHER-JULHO-2026.html","Time de Elite\BLACK-PANTHER-JULHO-2026.html","OK"
"index.html","./Carteiras/CARTEIRAS-POR-SUPERVISOR.html","Carteiras\CARTEIRAS-POR-SUPERVISOR.html","OK"
"index.html","./Recrutamento/AVALIACAO-PERFIL-CS.html","Recrutamento\AVALIACAO-PERFIL-CS.html","OK"
"index.html","./Elevate%204D/Visao%20Geral/ELEVATE-4D-VISAO-GERAL.html","Elevate 4D\Visao Geral\ELEVATE-4D-VISAO-GERAL.html","OK"
"index.html","./Elevate%204D/One-Pager/ELEVATE-4D-ONE-PAGER.html","Elevate 4D\One-Pager\ELEVATE-4D-ONE-PAGER.html","OK"
"index.html","./Mercado%20Livre%204D/Visao%20Geral/VISAO-GERAL-ML.html","Mercado Livre 4D\Visao Geral\VISAO-GERAL-ML.html","OK"
"index.html","./Mercado%20Livre%204D/One-Pager/ONE-PAGER-ML.html","Mercado Livre 4D\One-Pager\ONE-PAGER-ML.html","OK"
"index.html","./Elevate%204D/Metodologia/ELEVATE-4D-METODOLOGIA-DIAGNOSTICO.html","Elevate 4D\Metodologia\ELEVATE-4D-METODOLOGIA-DIAGNOSTICO.html","OK"
"index.html","./Elevate%204D/README.html","Elevate 4D\README.html","OK"
"index.html","./Formacao/FUNDAMENTOS-MERCADO-LIVRE.html","Formacao\FUNDAMENTOS-MERCADO-LIVRE.html","OK"
"index.html","./Formacao/FUNDAMENTOS-TIKTOK-SHOP.html","Formacao\FUNDAMENTOS-TIKTOK-SHOP.html","OK"
"index.html","./Formacao/BOAS-PRATICAS-LIVE-TIKTOK.html","Formacao\BOAS-PRATICAS-LIVE-TIKTOK.html","OK"
"index.html","./Formacao/GUIA-CRIADOR-AUTORIZAR-ANUNCIOS.html","Formacao\GUIA-CRIADOR-AUTORIZAR-ANUNCIOS.html","OK"
"index.html","./Formacao/RECOMENDACOES-EXPLORACAO-ADS.html","Formacao\RECOMENDACOES-EXPLORACAO-ADS.html","OK"
"index.html","./Formacao/Live%20que%20Vende/","Formacao\Live que Vende\index.html","OK"
"index.html","./Formacao/Live%20que%20Vende/Programa-Formacao-Live-que-Vende.html","Formacao\Live que Vende\Programa-Formacao-Live-que-Vende.html","OK"
"index.html","./Formacao/Live%20que%20Vende/Proposta-Formacao-Live-que-Vende.html","Formacao\Live que Vende\Proposta-Formacao-Live-que-Vende.html","OK"
"index.html","./Formacao/Live%20que%20Vende/Guia-Setup-Equipamentos.html","Formacao\Live que Vende\Guia-Setup-Equipamentos.html","OK"
"index.html","./Campanhas/CAMPANHA-8-8-TIKTOK-SHOP.html","Campanhas\CAMPANHA-8-8-TIKTOK-SHOP.html","OK"
"index.html","./Campanhas/CAMPANHA-7-7-TIKTOK-SHOP.html","Campanhas\CAMPANHA-7-7-TIKTOK-SHOP.html","OK"
"index.html","./Mercado%20Livre%204D/Analise%20de%20Conta/MODO-ANALISE-CONTA-ML.html","Mercado Livre 4D\Analise de Conta\MODO-ANALISE-CONTA-ML.html","OK"
"index.html","./Elevate%204D/Fluxo%20de%20Classificacao/Guia%20de%20Coleta/GUIA-COLETA-DADOS-4D.html","Elevate 4D\Fluxo de Classificacao\Guia de Coleta\GUIA-COLETA-DADOS-4D.html","OK"
"index.html","./Elevate%204D/Fluxo%20de%20Classificacao/SOP/FLUXO-CLASSIFICACAO-4D.html","Elevate 4D\Fluxo de Classificacao\SOP\FLUXO-CLASSIFICACAO-4D.html","OK"
"index.html","./Elevate%204D/Fluxo%20de%20Classificacao/Prompt/PROMPT-CLASSIFICACAO-4D.html","Elevate 4D\Fluxo de Classificacao\Prompt\PROMPT-CLASSIFICACAO-4D.html","OK"
"index.html","./Elevate%204D/Fluxo%20de%20Classificacao/ENTRADA-DADOS-4D.html","Elevate 4D\Fluxo de Classificacao\ENTRADA-DADOS-4D.html","OK"
"index.html","./Elevate%204D/Fluxo%20de%20Classificacao/MODELO-PLANEJAMENTO-ESTRATEGICO-4D.html","Elevate 4D\Fluxo de Classificacao\MODELO-PLANEJAMENTO-ESTRATEGICO-4D.html","OK"
"index.html","./Elevate%204D/Fluxo%20de%20Classificacao/MODELO-RELATORIO-4D.html","Elevate 4D\Fluxo de Classificacao\MODELO-RELATORIO-4D.html","OK"
"index.html","./Elevate%204D/Fluxo%20de%20Classificacao/CALCULADORA-4D.xlsx","Elevate 4D\Fluxo de Classificacao\CALCULADORA-4D.xlsx","OK"
"index.html","./Elevate%204D/Fluxo%20de%20Classificacao/PAINEL-PORTFOLIO-4D.xlsx","Elevate 4D\Fluxo de Classificacao\PAINEL-PORTFOLIO-4D.xlsx","OK"
"index.html","./Elevate%204D/Diagnostico%20Estrategico/MODELO-DIAGNOSTICO-ESTRATEGICO-4D.html","Elevate 4D\Diagnostico Estrategico\MODELO-DIAGNOSTICO-ESTRATEGICO-4D.html","OK"
"index.html","./Comercial/APRESENTACAO-TIKTOK-SHOP.html","Comercial\APRESENTACAO-TIKTOK-SHOP.html","OK"
"index.html","./Comercial/APRESENTACAO-TIKTOK-SHOP.html?semvalor","Comercial\APRESENTACAO-TIKTOK-SHOP.html","OK"
"index.html","./Comercial/ROTEIRO-CANVA-APRESENTACAO-TIKTOK.html","Comercial\ROTEIRO-CANVA-APRESENTACAO-TIKTOK.html","OK"
"index.html","./Comercial/APRESENTACAO-MERCADO-LIVRE.html","Comercial\APRESENTACAO-MERCADO-LIVRE.html","OK"
"index.html","./Comercial/APRESENTACAO-MERCADO-LIVRE.html?semvalor","Comercial\APRESENTACAO-MERCADO-LIVRE.html","OK"
"index.html","./Comercial/APRESENTACAO-SHOPEE.html","Comercial\APRESENTACAO-SHOPEE.html","OK"
"index.html","./Comercial/APRESENTACAO-SHOPEE.html?semvalor","Comercial\APRESENTACAO-SHOPEE.html","OK"
"index.html","./Comercial/APRESENTACAO-MARKETPLACES.html","Comercial\APRESENTACAO-MARKETPLACES.html","OK"
"index.html","./Comercial/APRESENTACAO-MARKETPLACES.html?semvalor","Comercial\APRESENTACAO-MARKETPLACES.html","OK"
